*** New Run, Seed = 1058617387; External Seed =1750015104 *** NoCars = 0; CarMaxDeceleration = 0.15625; CarMaxSpeed = 2.5; CarMaxAcceleration = 0.1; CarMaxTurning = 15.0; NoObstacles = 0.
Failure when adding junction: 3; unable to locate intersection on road.
Failure when adding junction: 4; unable to locate intersection on road.
Failure when adding junction: 10; unable to locate intersection on road.
Failure when adding junction: 11; unable to locate intersection on road.
Failure when adding junction: 12; unable to locate intersection on road.
Junctions added: 10/15; roads added: 11.
Obstacles added: 4/8.
Car obstacles added: 19/19.
Step: 3, Car: 57 entering junction 34, at speed: 0.2, bearing: 270.0.
Step: 3, Car: 57 would not have stopped in time, excess speed = 0.04375000000000001 in junction 34, at speed: 0.0, bearing: 270.0.
Step: 3, Car: 65 entering junction 3, at speed: 0.2, bearing: 90.0.
Step: 4, Car: 52 entering junction 17, at speed: 0.2, bearing: 90.0.
Step: 4, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 5, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 6, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 7, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 8, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 9, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 9, Car: 63 entering junction 3, at speed: 0.2, bearing: 0.0.
Step: 9, Car: 63 would not have stopped in time, excess speed = 0.04375000000000001 in junction 3, at speed: 0.0, bearing: 0.0.
Step: 10, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 10, Car: 63 entering junction 3, at speed: 0.2, bearing: 0.0.
Step: 10, Car: 63 would not have stopped in time, excess speed = 0.04375000000000001 in junction 3, at speed: 0.0, bearing: 0.0.
Step: 11, Car: 63 entering junction 3, at speed: 0.2, bearing: 0.0.
Step: 11, Car: 63 would not have stopped in time, excess speed = 0.04375000000000001 in junction 3, at speed: 0.0, bearing: 0.0.
Step: 11, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 11, Car: 65 leaving junction, at speed: 0.38749999999999996, bearing: 318.7378122916705.
Step: 12, Car: 51 entering junction 34, at speed: 0.08750000000000002, bearing: 270.0.
Step: 12, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 12, Car: 63 entering junction 3, at speed: 0.2, bearing: 0.0.
Step: 13, Car: 51 entering junction 34, at speed: 0.0, bearing: 270.0.
Step: 13, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 14, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 14, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 15, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 15, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 16, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 16, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 17, Car: 57 entering junction 34, at speed: 0.1, bearing: 270.0.
Step: 17, Car: 51 entering junction 34, at speed: 0.1, bearing: 270.0.
